"Plant_Code","Plant_Name","Utility_Na","Utility_ID","sector_nam","City","County","StateName","Zip","Street_Add","PrimSource","Install_MW","Total_MW","Coal_MW","NG_MW","Crude_MW","Bio_MW","Hydro_MW","HydroPS_MW","Nuclear_MW","Solar_MW","Wind_MW","Geo_MW","Bat_MW","Other_MW","source_des","tech_desc","Source","Period","Latitude","Longitude"
57264,"Little Pringle II Wind Farm","DeWind Co.",56627,"IPP Non-CHP","Morse","Hutchinson","Texas",79062,"8571 Co Rd H","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.924858,-101.541363
57303,"Loraine Windpark Project LLC","Loraine Windpower Project",56667,"IPP Non-CHP","Loraine","Mitchell","Texas",79532,"4274 CR 446","wind",150,148.5,0,0,0,NA,0,0,0,0,148.5,NA,NA,NA,"Wind = 148.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.4375,-100.7444
57322,"Mont Belvieu Cogeneration Unit","Targa Co-Generation LLC",56672,"Industrial CHP","Mont Belvieu","Chambers","Texas",77580,"10319 Highway 146 North","natural gas",15,12.3,0,12.3,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 12.3 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,29.838138,-94.900661
57326,"Sunray Wind I","Diamond Shamrock Refining Company LP",56680,"IPP Non-CHP","Sunray","Moore","Texas",79086,"6701 FM119","wind",49.5,49.5,0,0,0,NA,0,0,0,0,49.5,NA,NA,NA,"Wind = 49.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.9454,-101.9005
57415,"Sherbino II","Sherbino II Wind Farm LLC",62077,"IPP Non-CHP","Ft. Stockton","Pecos","Texas",79735,"5697 Tran Pecos Road","wind",145,145,0,0,0,NA,0,0,0,0,145,NA,NA,NA,"Wind = 145 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,30.772575,-102.505808
57474,"Ralls Wind Farm","Ralls Wind Farm LLC",56790,"IPP Non-CHP","Ralls","Crosby","Texas",79357,"1247 State Highway #207","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.661111,-101.39
57504,"TECO CHP-1","Texas Medical Center Central",56826,"Commercial CHP","Houston","Harris","Texas",77030,"1615 Braeswood","natural gas",48,48,0,48,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 48 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,29.703454,-95.398317
57517,"DeWind Frisco","DeWind Co.",56627,"IPP Non-CHP","Gruver","Hansford","Texas",79040,"15150 County Road 2","wind",20,20,0,0,0,NA,0,0,0,0,20,NA,NA,NA,"Wind = 20 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,36.498514,-101.605278
57520,"Trinity Hills","Trinity Hills Wind Farm LLC",62075,"IPP Non-CHP","Olney","Young","Texas",76374,"116 Hilton Ranch Road","wind",225,225,0,0,0,NA,0,0,0,0,225,NA,NA,NA,"Wind = 225 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.383611,-98.711944
57617,"Hidalgo Wind Farm LLC","Hidalgo Wind Farm LLC",56946,"IPP Non-CHP","McCook","Hidalgo","Texas",78541,"41420 FM 490","wind",250,250,0,0,0,NA,0,0,0,0,250,NA,NA,NA,"Wind = 250 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,26.465556,-98.411111
57699,"Webberville Solar Project","FRV AE Solar LLC",57021,"IPP Non-CHP","Manor","Travis","Texas",78653,"18580 FM 969","solar",30,30,0,0,0,NA,0,0,0,30,0,NA,NA,NA,"Solar = 30 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,30.238492,-97.508812
57741,"Suzlon Project VIII LLC","Suzlon Project VIII LLC",57054,"IPP Non-CHP","Channing","Hartley","Texas",79018,"4495 FM 722","wind",4.2,4.2,0,0,0,NA,0,0,0,0,4.2,NA,NA,NA,"Wind = 4.2 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.75,-102.28
57751,"Los Vientos Wind 1A","Los Vientos Wind 1A, LLC",57063,"IPP Non-CHP","Sebastian","Cameron","Texas",78594,"4545 FM 507","wind",200,200,0,0,0,NA,0,0,0,0,200,NA,NA,NA,"Wind = 200 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,26.33072,-97.5857
57752,"Los Vientos Wind 1B","Los Vientos Wind 1B, LLC",57064,"IPP Non-CHP","Sebastian","Cameron","Texas",78594,"4545 FM 507","wind",201.6,201.6,0,0,0,NA,0,0,0,0,201.6,NA,NA,NA,"Wind = 201.6 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,26.34892,-97.6668
57802,"Magic Valley Wind Farm I LLC","RWE Renewables Americas LLC",56215,"IPP Non-CHP","San Perlita","Willacy","Texas",78590,"12550 Pennington Road","wind",203,203,0,0,0,NA,0,0,0,0,203,NA,NA,NA,"Wind = 203 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,26.475278,-97.691111
57865,"Antelope Station","Golden Spread Electric Cooperative, Inc",7349,"Electric Utility","Abernathy","Hale","Texas",79311,"1454 CR 315","natural gas",167.4,158.9,0,158.9,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 158.9 MW","Natural Gas Internal Combustion Engine","EIA-860, EIA-860M and EIA-923",202004,33.865,-101.843333
57866,"Golden Spread Panhandle Wnd Rch","Golden Spread Electric Cooperative, Inc",7349,"Electric Utility","Wilderado","Oldham","Texas",79098,"6514 CR 50","wind",78.2,78.2,0,0,0,NA,0,0,0,0,78.2,NA,NA,NA,"Wind = 78.2 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.243611,-102.21
57927,"Baffin Wind","Avangrid Renewables LLC",15399,"IPP Non-CHP","Sarita","Kenedy","Texas",78385,"123 Baffin Road","wind",188,188,0,0,0,NA,0,0,0,0,188,NA,NA,NA,"Wind = 188 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.223056,-97.789167
57952,"Woodall Gas Plant","Energy Transfer Field Services LLC",59344,"Industrial Non-CHP","Briscoe","Hemphill","Texas",79011,"15853 FM 277","natural gas",3,3,0,3,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 3 MW","Natural Gas Internal Combustion Engine","EIA-860, EIA-860M and EIA-923",202004,35.690833,-100.240278
57973,"Spinning Spur Wind LLC","EDF Renewable Asset Holdings, Inc.",57170,"IPP Non-CHP","Vegas","Oldham","Texas",79092,"111 County Road F","wind",161,161,0,0,0,NA,0,0,0,0,161,NA,NA,NA,"Wind = 161 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.2375,-102.203056
57974,"Bobcat Bluff Wind Project LLC","EDF Renewable Asset Holdings, Inc.",57170,"IPP Non-CHP","Archer","Archer","Texas",76351,"1354 Cowan Rd","wind",150,150,0,0,0,NA,0,0,0,0,150,NA,NA,NA,"Wind = 150 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.493056,-98.581944
57981,"Senate Wind LLC","Algonquin Power Co",59050,"IPP Non-CHP","Bryson","Jack","Texas",76427,"1065 FM 1191 North","wind",150,150,0,0,0,NA,0,0,0,0,150,NA,NA,NA,"Wind = 150 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.205801,-98.365069
57983,"Stephens Ranch Wind Energy LLC","Stephens Ranch Wind Energy LLC",57355,"IPP Non-CHP","O'Donnell","Borden","Texas",79351,"2186 County Road 131","wind",376,376,0,0,0,NA,0,0,0,0,376,NA,NA,NA,"Wind = 376 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.926389,-101.647778
58000,"Anacacho Wind Farm, LLC","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Brackettville","Kinney","Texas",78832,"15542 Ranch Road 1572","wind",99.8,99.8,0,0,0,NA,0,0,0,0,99.8,NA,NA,NA,"Wind = 99.8 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,29.234722,-100.209167
58001,"Panda Temple Power Station","PPG - O&M Panda Temple Power LLC",57377,"IPP Non-CHP","Temple","Bell","Texas",76501,"2892 Panda Drive","natural gas",1606.4,1468,0,1468,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 1468 MW","Natural Gas Fired Combined Cycle","EIA-860, EIA-860M and EIA-923",202004,31.055833,-97.317222
58005,"Panda Sherman Power Station","PPG - O&M Panda Sherman Power LLC",57379,"IPP Non-CHP","Sherman","Grayson","Texas",75092,"510 Progress Drive","natural gas",803.2,707,0,707,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 707 MW","Natural Gas Fired Combined Cycle","EIA-860, EIA-860M and EIA-923",202004,33.582573,-96.617893
58009,"SunE CPS3 LLC","SunE CPS3 LLC",57386,"IPP Non-CHP","Somerset","Bexar","Texas",78069,"8719 S FM 2790","solar",10.6,10.6,0,0,0,NA,0,0,0,10.6,0,NA,NA,NA,"Solar = 10.6 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,29.221944,-98.669167
58013,"IKEA Round Rock 027","IKEA Property Inc",57389,"Commercial Non-CHP","Round Rock","Williamson","Texas",78664,"1 IKEA Way","solar",1.4,1.3,0,0,0,NA,0,0,0,1.3,0,NA,NA,NA,"Solar = 1.3 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,30.557044,-97.690286
58021,"Whitetail","Whitetail Wind Energy, LLC",57398,"IPP Non-CHP","Oilton","Webb","Texas",78731,"1462 Wellhausen Rd","wind",92,91.2,0,0,0,NA,0,0,0,0,91.2,NA,NA,NA,"Wind = 91.2 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.488056,-99.005278
58027,"SunE CPS2 LLC","SunE CPS2 LLC",57403,"IPP Non-CHP","San Antonio","Bexar","Texas",78221,"3580 Valley Rd","solar",10,9.9,0,0,0,NA,0,0,0,9.9,0,NA,NA,NA,"Solar = 9.9 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,29.245,-98.418333
58048,"BayWa r.e Mozart LLC","BayWa r.e Wind LLC",57421,"IPP Non-CHP","Jayton","Kent","Texas",79528,"17839 Hwy 70","wind",30,30,0,0,0,NA,0,0,0,0,30,NA,NA,NA,"Wind = 30 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.969722,-100.524167
58068,"SunE CPS1 LLC","SunE CPS1 LLC",57419,"IPP Non-CHP","San Antonio","Bexar","Texas",78221,"4000 Rabel Road","solar",10,9.9,0,0,0,NA,0,0,0,9.9,0,NA,NA,NA,"Solar = 9.9 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,29.245,-98.418333
58080,"Wolf Ridge Wind","NextEra Wolf Ridge LLC",57460,"IPP Non-CHP","Muenster","Cooke","Texas",76252,"1923 CR 431","wind",112.5,112.5,0,0,0,NA,0,0,0,0,112.5,NA,NA,NA,"Wind = 112.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.733006,-97.428406
58151,"Central Utility Plant - Texas A&M","Texas A&M, Utilities & Energy Services",58113,"Commercial CHP","College Station","Brazos","Texas",77843,"496 Asbury","natural gas",50.1,48.4,0,48.4,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 48.4 MW","Natural Gas Fired Combined Cycle","EIA-860, EIA-860M and EIA-923",202004,30.617778,-96.343333
58162,"Cirrus Wind 1 LLC","Cirrus Wind 1 LLC",58134,"IPP Non-CHP","Tahoka","Lynn","Texas",79373,"2609 County Road BB","wind",61.2,61.2,0,0,0,NA,0,0,0,0,61.2,NA,NA,NA,"Wind = 61.2 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.033056,-101.6875
58242,"Pattern Panhandle Wind LLC","Pattern Operators LP",56545,"IPP Non-CHP","Panhandle","Carson","Texas",79068,"1797 FM 2385","wind",218,218,0,0,0,NA,0,0,0,0,218,NA,NA,NA,"Wind = 218 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.4275,-101.253056
58321,"Goldthwaite Wind Energy Facility","Invenergy Services LLC",49893,"IPP Non-CHP","Goldthwaite","Mills","Texas",76844,"418 East Farm to Market Rd 572","wind",150,150,0,0,0,NA,0,0,0,0,150,NA,NA,NA,"Wind = 150 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,31.383333,-98.466667
58363,"Majestic II Wind","NextEra Energy Majestic Wind",58353,"IPP Non-CHP","Panhandle","Carson","Texas",79068,"580 FM 1342","wind",79.6,79.6,0,0,0,NA,0,0,0,0,79.6,NA,NA,NA,"Wind = 79.6 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.386038,-101.578572
58372,"Blue Summit Wind LLC","Blue Summit Wind LLC",58360,"IPP Non-CHP","Vernon","Wilbarger","Texas",76384,"17301 CR 97N","wind",135.4,135.4,0,0,0,NA,0,0,0,0,135.4,NA,NA,NA,"Wind = 135.4 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,34.29,-99.364722
58378,"W.A. Parish Carbon Capture Plant","Petra Nova Power I LLC",58365,"IPP Non-CHP","Thompsons","Fort Bend","Texas",77481,"2500 Y.U. Jones Road","natural gas",102.7,74,0,74,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 74 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,29.475278,-95.634167
58404,"Pantex","Pantex (NNSA)",58388,"Commercial Non-CHP","Amarillo","Carson","Texas",79120,"FM 2373 and Highway 60","wind",11.5,11.5,0,0,0,NA,0,0,0,0,11.5,NA,NA,NA,"Wind = 11.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.322778,-101.5325
58424,"Harbor Wind LLC","Harbor Wind Tenant LLC",58420,"IPP Non-CHP","Corpus Christi","Nueces","Texas",78402,"3918 Joe Fulton International","wind",9,9,0,0,0,NA,0,0,0,0,9,NA,NA,NA,"Wind = 9 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.832222,-97.440278
58471,"Ector County Energy Center","Invenergy Services LLC",49893,"IPP Non-CHP","Goldsmith","Ector","Texas",79741,"SW 3601 1 MW NW of Holt Road","natural gas",358.8,300,0,300,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 300 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,32.069167,-102.585556
58488,"Bryan Solar, LLC","NVT LICENSES, LLC",58473,"IPP Non-CHP","Presidio","Presidio","Texas",79845,"3400 Rancho Rd","solar",10,10,0,0,0,NA,0,0,0,10,0,NA,NA,NA,"Solar = 10 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,29.6,-104.3
58537,"OCI Alamo Solar I Hybrid","OCI Solar Power",58489,"IPP Non-CHP","San Antonio","Bexar","Texas",78204,"14984 South Blue Wing Road","solar",41.7,41.7,0,0,0,NA,0,0,0,40.7,0,NA,"1.0",NA,"Battery = 1 MW, Solar = 40.7 MW","Batteries; Solar Photovoltaic;","EIA-860, EIA-860M and EIA-923",202004,29.271667,-98.444722
58562,"Montana Power Station","El Paso Electric Co",5701,"Electric Utility","El Paso","El Paso","Texas",79938,"13511 B Montana Ave","natural gas",527.2,352,0,352,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 352 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,31.823889,-106.211944
58596,"Grandview Wind Farm, LLC","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Panhandle","Carson","Texas",79068,"408 County Road R","wind",211.2,211.2,0,0,0,NA,0,0,0,0,211.2,NA,NA,NA,"Wind = 211.2 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.238333,-101.310833
58614,"Patriot Wind Farm","Avangrid Renewables LLC",15399,"IPP Non-CHP","TBD","Nueces","Texas",78380,"TBD Road","wind",226.1,226.1,0,0,0,NA,0,0,0,0,226.1,NA,NA,NA,"Wind = 226.1 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.592778,-97.648056
58681,"Route 66 Wind Plant","Novatus Energy",60453,"IPP Non-CHP","Panhandle","Carson","Texas",79068,"Farm To Market Road 2161","wind",150,150,0,0,0,NA,0,0,0,0,150,NA,NA,NA,"Wind = 150 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.205278,-101.434167
58710,"Barilla Solar","First Solar Asset Management",59745,"IPP Non-CHP","Fort Stockton","Pecos","Texas",79735,"Hovey Road","solar",30.2,30.2,0,0,0,NA,0,0,0,30.2,0,NA,NA,NA,"Solar = 30.2 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,30.96,-103.35
58716,"OCI Alamo 2, LLC","OCI Solar Power",58489,"IPP Non-CHP","Converse","Bexar","Texas",78109,"8203 Binz Engelman Road","solar",4.4,4.4,0,0,0,NA,0,0,0,4.4,0,NA,NA,NA,"Solar = 4.4 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,29.469444,-98.331944
58717,"OCI Alamo 4, LLC","Consolidated Edison Development Inc.",56769,"IPP Non-CHP","Brackettville","Kinney","Texas",78837,"Ranch to Market Road 334","solar",39.6,39.6,0,0,0,NA,0,0,0,39.6,0,NA,NA,NA,"Solar = 39.6 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,29.328889,-100.383889
58720,"Pattern Panhandle Wind 2 LLC","Pattern Operators LP",56545,"IPP Non-CHP","Panhandle","Carson","Texas",79068,"1797 FM 2385","wind",181.7,181.7,0,0,0,NA,0,0,0,0,181.7,NA,NA,NA,"Wind = 181.7 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.442778,-101.372778
58765,"Miami Wind Energy Center","Invenergy Services LLC",49893,"IPP Non-CHP","Miami","Roberts","Texas",79059,"3096 FM 1268","wind",288.6,288.6,0,0,0,NA,0,0,0,0,288.6,NA,NA,NA,"Wind = 288.6 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.653889,-100.538611
58766,"Wake Wind Energy Center","Southern Power Co",17650,"IPP Non-CHP","Floydada","Crosby","Texas",79235,"2895 FM 193","wind",257,257,0,0,0,NA,0,0,0,0,257,NA,NA,NA,"Wind = 257 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.825,-101.099722
58772,"Longhorn Wind","EDF Renewable Asset Holdings, Inc.",57170,"IPP Non-CHP","Silverton","Briscoe","Texas",79201,"120 CR 17","wind",200,200,0,0,0,NA,0,0,0,0,200,NA,NA,NA,"Wind = 200 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,34.311111,-101.251111
58773,"TX Hereford Wind","EDF Renewable Asset Holdings, Inc.",57170,"IPP Non-CHP","Hereford","Deaf Smith","Texas",88116,"4501 FM 1259","wind",200,200,0,0,0,NA,0,0,0,0,200,NA,NA,NA,"Wind = 200 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,34.748056,-102.174444
58774,"Spinning Spur Wind II","EDF Renewable Asset Holdings, Inc.",57170,"IPP Non-CHP","Adrian","Oldham","Texas",79001,"6899 Windy Way Road","wind",161,161,0,0,0,NA,0,0,0,0,161,NA,NA,NA,"Wind = 161 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.276944,-102.682778
58775,"Spinning Spur Wind III","EDF Renewable Asset Holdings, Inc.",57170,"IPP Non-CHP","Adrian","Oldham","Texas",79001,"6899 Windy Way Road","wind",194,194,0,0,0,NA,0,0,0,0,194,NA,NA,NA,"Wind = 194 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.295,-102.721111
58835,"Elk Station","Golden Spread Electric Cooperative, Inc",7349,"Electric Utility","Abernathy","Hale","Texas",79311,"1454 CR 315","natural gas",606,580.7,0,580.7,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 580.7 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,33.865,-101.843333
58838,"Keechi Wind","Keechi Wind, LLC",62969,"IPP Non-CHP","Jacksboro","Jack","Texas",76458,"3601 FM 4","wind",110,110,0,0,0,NA,0,0,0,0,110,NA,NA,NA,"Wind = 110 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.143056,-98.161111
59005,"Mariah del Norte","Mariah Holdings II LLC c/o CAMS",60475,"IPP Non-CHP","Friona","Parmer","Texas",79035,"2145 County Rd E","wind",230.4,230.4,0,0,0,NA,0,0,0,0,230.4,NA,NA,NA,"Wind = 230.4 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,34.6675,-102.577778
59034,"Shannon Wind","Shannon Wind LLC",58872,"IPP Non-CHP","Windhorst","Clay","Texas",76389,"4130 Cobb Road","wind",204,204,0,0,0,NA,0,0,0,0,204,NA,NA,NA,"Wind = 204 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.509722,-98.360833
59063,"Stella Wind Farm","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Armstrong","Kenedy","Texas",78338,"1238 E. Turcotte Rd.","wind",201,201,0,0,0,NA,0,0,0,0,201,NA,NA,NA,"Wind = 201 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,26.941667,-97.6425
59066,"Bruennings Breeze Wind Farm","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Raymondville","Willacy","Texas",78580,"382 W. Main St","wind",228,228,0,0,0,NA,0,0,0,0,228,NA,NA,NA,"Wind = 228 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,26.522222,-97.691111
59068,"Colbeck's Corner, LLC","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Groom","Carson","Texas",79068,"2506 County Road 5","wind",200,200,0,0,0,NA,0,0,0,0,200,NA,NA,NA,"Wind = 200 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.254184,-101.186622
59118,"Cameron Wind 1 LLC","Cameron Wind 1 LLC",58939,"IPP Non-CHP","Rio Hondo","Cameron","Texas",78583,"25005 FM 1847 B","wind",165,165,0,0,0,NA,0,0,0,0,165,NA,NA,NA,"Wind = 165 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,26.195278,-97.466111
59145,"Freeport LP Pretreatment Facility","Freeport LNG Development L.P",58959,"Industrial CHP","Freeport","Brazoria","Texas",77541,"CR 690 and CR 891","natural gas",87,70,0,70,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 70 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,28.979167,-95.306944
59193,"Chapman Ranch Wind I","Chapman Ranch Wind LLC",58998,"IPP Non-CHP","Corpus Christi","Nueces","Texas",78415,"1070 County Road 55","wind",236,249,0,0,0,NA,0,0,0,0,249,NA,NA,NA,"Wind = 249 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.5925,-97.500833
59204,"OCI Alamo 3 LLC","Consolidated Edison Development Inc.",56769,"IPP Non-CHP","San Antonio","Bexar","Texas",78109,"12065 E Loop 1604","solar",5.5,5.5,0,0,0,NA,0,0,0,5.5,0,NA,NA,NA,"Solar = 5.5 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,29.479167,-98.297222
59205,"OCI Alamo 5 LLC","Consolidated Edison Development Inc.",56769,"IPP Non-CHP","Uvalde","Uvalde","Texas",78801,"5061 Farm to Market 1023","solar",100,100,0,0,0,NA,0,0,0,100,0,NA,NA,NA,"Solar = 100 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,29.216667,-99.716111
59206,"Alamo 6","BHE Renewables, LLC",59359,"IPP Non-CHP","Fort Stockton","Pecos","Texas",79735,"1401 Nevill Cutoff Road","solar",105,116,0,0,0,NA,0,0,0,116,0,NA,NA,NA,"Solar = 116 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,30.993056,-102.270833
59207,"OCI Alamo 7 LLC","Consolidated Edison Development Inc.",56769,"IPP Non-CHP","Haskell","Haskell","Texas",79521,"11180 Loop Rd","solar",100,100,0,0,0,NA,0,0,0,100,0,NA,NA,NA,"Solar = 100 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,33.04,-99.5525
59238,"Windthorst-2","EDF Renewable Asset Holdings, Inc.",57170,"IPP Non-CHP","Archer","Archer","Texas",76389,"3885 Loftin Road","wind",67.6,67.6,0,0,0,NA,0,0,0,0,67.6,NA,NA,NA,"Wind = 67.6 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.495278,-98.5
59244,"Lorenzo Wind","Lorenzo Wind, LLC",61133,"IPP Non-CHP","Lorenzo","Crosby","Texas",79343,"608 County Road 125","wind",80,80,0,0,0,NA,0,0,0,0,80,NA,NA,NA,"Wind = 80 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.699167,-101.524722
59245,"Fluvanna","Fluvanna Wind Energy LLC",60042,"IPP Non-CHP","Fluvanna","Scurry","Texas",79517,"14925 County Road 2224","wind",155.4,155.4,0,0,0,NA,0,0,0,0,155.4,NA,NA,NA,"Wind = 155.4 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.931944,-101.143611
59247,"Hale Community Wind Farm","Hale Wind Energy",60040,"IPP Non-CHP","Plainview","Hale","Texas",79072,"TBD","wind",478,478,0,0,0,NA,0,0,0,0,478,NA,NA,NA,"Wind = 478 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.927778,-101.742222
59320,"Los Vientos Windpower III","Los Vientos Windpower III, LLC",59119,"IPP Non-CHP","Rio Grande City","Starr","Texas",78582,"200 FM 490","wind",200,200,0,0,0,NA,0,0,0,0,200,NA,NA,NA,"Wind = 200 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,26.388611,-98.806111
59321,"Los Vientos Windpower IV","Los Vientos Windpower IV, LLC",59120,"IPP Non-CHP","Rio Grande City","Starr","Texas",78582,"200 FM 490","wind",200,200,0,0,0,NA,0,0,0,0,200,NA,NA,NA,"Wind = 200 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,26.380556,-98.818333
59332,"Mesquite Creek Wind","Mesquite Creek Wind, LLC",59900,"IPP Non-CHP","Lamesa","Dawson","Texas",79331,"2412 County Road W","wind",211.2,211.2,0,0,0,NA,0,0,0,0,211.2,NA,NA,NA,"Wind = 211.2 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.7,-101.741111
59381,"The Methodist Hospital, Gas Turbine","The Methodist Hospital",59157,"Commercial CHP","Houston","Harris","Texas",77030,"6565 Fannin Street","natural gas",5,3,0,3,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 3 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,29.709444,-95.400278
59384,"South Plains Wind Phase I","First Wind O&M, LLC",59155,"IPP Non-CHP","Floydada","Floyd","Texas",79241,"1700 State Highway 207","wind",200,200,0,0,0,NA,0,0,0,0,200,NA,NA,NA,"Wind = 200 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,34.080556,-101.323611
