"Plant_Code","Plant_Name","Utility_Na","Utility_ID","sector_nam","City","County","StateName","Zip","Street_Add","PrimSource","Install_MW","Total_MW","Coal_MW","NG_MW","Crude_MW","Bio_MW","Hydro_MW","HydroPS_MW","Nuclear_MW","Solar_MW","Wind_MW","Geo_MW","Bat_MW","Other_MW","source_des","tech_desc","Source","Period","Latitude","Longitude"
56395,"Mesquite Wind Power LLC","Mesquite Wind LLC",54759,"IPP Non-CHP","Abilene","Shackelford","Texas",79601,"299 FM 604","wind",200,200,0,0,0,NA,0,0,0,0,200,NA,NA,NA,"Wind = 200 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.6256,-99.4928
56432,"Wildorado Wind LLC","NRG Energy Gas & Wind Holdings Inc",59883,"IPP Non-CHP","Vega","Oldham","Texas",79092,"6798 CO RD 42","wind",161,161,0,0,0,NA,0,0,0,0,161,NA,NA,NA,"Wind = 161 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.291944,-102.303056
56457,"Post Wind Farm LP","FPL Energy Red Canyon LLC",54870,"IPP Non-CHP","Fluvanna","Borden","Texas",79517,"423 Country Road","wind",84,84,0,0,0,NA,0,0,0,0,84,NA,NA,NA,"Wind = 84 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.92544,-101.219397
56479,"Sand Bluff Wind Farm","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Big Spring","Glasscock","Texas",79720,"893 N. McDonald Rd","wind",90,90,0,0,0,NA,0,0,0,0,90,NA,NA,NA,"Wind = 90 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,31.991442,-101.302637
56483,"Post Oak Wind LLC","Mesquite Wind LLC",54759,"IPP Non-CHP","Abilene","Shackelford","Texas",79601,"299 FM 604","wind",200,200,0,0,0,NA,0,0,0,0,200,NA,NA,NA,"Wind = 200 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.5144,-99.6564
56484,"Buffalo Gap 2 Wind Farm","AES Wind Generation Inc",19740,"IPP Non-CHP","Merkel","Nolan","Texas",79536,"10718 FM 89","wind",232.5,232.5,0,0,0,NA,0,0,0,0,232.5,NA,NA,NA,"Wind = 232.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.318221,-100.176986
56506,"Scurry County Wind LP","Invenergy Services LLC",49893,"IPP Non-CHP","Snyder","Scurry","Texas",79549,"6543 E Hwy 180","wind",130.5,130.5,0,0,0,NA,0,0,0,0,130.5,NA,NA,NA,"Wind = 130.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.7204,-100.9952
56560,"Porterhouse Wind (4) LLC","GlidePath Power Operations LLC",61728,"IPP Non-CHP","Gruver","Hansford","Texas",79040,"9489 County Rd. H","wind",79.8,79.8,0,0,0,NA,0,0,0,0,79.8,NA,NA,NA,"Wind = 79.8 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,36.4144,-101.3864
56561,"Filet Wind (5) LLC","GlidePath Power Operations LLC",61728,"IPP Non-CHP","Stratford","Sherman","Texas",79084,"6700 US Hwy 54","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,36.4453,-101.8761
56562,"Tenderloin Wind (6) LLC","GlidePath Power Operations LLC",61728,"IPP Non-CHP","Texhoma","Sherman","Texas",73960,"15090 FM 119","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,36.4669,-101.8222
56592,"Champion Wind Farm LLC","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Roscoe","Nolan","Texas",79545,"1100 County Rd. 140","wind",126.5,126.5,0,0,0,NA,0,0,0,0,126.5,NA,NA,NA,"Wind = 126.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.3983,-100.6481
56593,"Roscoe Wind Farm LLC","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Roscoe","Nolan","Texas",79545,"5722 County Rd. 466","wind",209,209,0,0,0,NA,0,0,0,0,209,NA,NA,NA,"Wind = 209 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.4694,-100.6664
56602,"Snyder Wind Farm","Snyder Wind Farm LLC",55847,"IPP Non-CHP","Synder","Scurry","Texas",79549,"County Rd 1121","wind",63,63,0,0,0,NA,0,0,0,0,63,NA,NA,NA,"Wind = 63 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.739294,-100.738949
56603,"San Jacinto County Peaking Facility","East Texas Electric Coop, Inc",39347,"Electric Utility","Shepherd","San Jacinto","Texas",77371,"2101 Pelican Road","natural gas",170,146,0,146,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 146 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,30.4193,-95.0118
